Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;203;b;naming;b__203_picnam_bÃ©quille;béquille;6.474829404;117.664399;122.653061;M;
French;Monolinguals;203;b;PW;b__203_PW_baje;baje;16.92643462;92.086168;97.07483;M;
French;Monolinguals;203;b;PW;b__203_PW_bamite;bamite;3.392206945;156.893424;161.882086;M;
French;Monolinguals;203;b;PW;b__203_PW_bamÃ©;bamé;3.972535935;179.954649;184.943311;M;
French;Monolinguals;203;b;PW;b__203_PW_baut;baut;30.68297577;115.238095;120.226757;M;
French;Monolinguals;203;b;PW;b__203_PW_berlise;berlise;34.98258684;69.659864;74.648526;M;
French;Monolinguals;203;b;PW;b__203_PW_berlit;berlit;36.86919193;87.188209;92.176871;M;
French;Monolinguals;203;b;PW;b__203_PW_berre;berre;12.56199585;115.736961;120.725624;M;
French;Monolinguals;203;b;PW;b__203_PW_bigude;bigude;21.10752357;113.174603;118.163265;M;
French;Monolinguals;203;b;PW;b__203_PW_bime;bime;29.191384;121.043084;126.031746;M;
French;Monolinguals;203;b;PW;b__203_PW_bipon;bipon;26.05630322;57.188209;62.176871;M;
French;Monolinguals;203;b;PW;b__203_PW_bisleau;bisleau;3.294661331;178.548753;183.537415;M;
French;Monolinguals;203;b;PW;b__203_PW_bive;bive;15.17117434;104.195011;109.183673;M;
French;Monolinguals;203;b;PW;b__203_PW_biÃ¨te;biète;17.81479702;118.526077;123.514739;M;
French;Monolinguals;203;b;PW;b__203_PW_bofa;bofa;27.3765765;95.668934;100.657596;M;
French;Monolinguals;203;b;PW;b__203_PW_bomain;bomain;6.458665139;87.664399;92.653061;M;
French;Monolinguals;203;b;PW;b__203_PW_boud;boud;58.55748722;137.936508;142.92517;M;
